Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age,MRP_bin,Vis_per_Weight,Is_New_Outlet
NCS53,14.5,Low Fat,0.08996026,Health and Hygiene,159.5604,OUT045,2002,Small,Tier 2,Supermarket Type1,1426.1436,23,High,0.0062041554341961775,0
FDH38,6.425,Low Fat,0.010480751,Canned,116.5808,OUT018,2009,Medium,Tier 3,Supermarket Type2,2460.7968,16,Medium,0.0016312450379385155,0
DRM35,9.695,LF,0.070587419,Hard Drinks,176.9344,OUT045,2002,Small,Tier 2,Supermarket Type1,5888.3352,23,High,0.00728080574720931,0
DRI25,19.6,Low Fat,0.03387323,Soft Drinks,56.1614,OUT013,1987,High,Tier 3,Supermarket Type1,828.921,38,Low,0.0017282259322333705,0
NCP06,20.7,LF,0.039238384,Household,152.8366,OUT035,2004,Small,Tier 2,Supermarket Type1,2569.3222,21,High,0.0018955740147065694,0
FDT02,12.6,Low Fat,0.024331586,Dairy,34.9874,OUT017,2007,Small,Tier 2,Supermarket Type1,529.311,18,Low,0.0019310781007080874,0
NCP14,8.275,Low Fat,0.110197977,Household,104.2306,OUT013,1987,High,Tier 3,Supermarket Type1,3658.571,38,Medium,0.013316974463205504,0
NCD43,8.85,Low Fat,0.028048877,Household,106.1964,OUT019,1985,Small,Tier 1,Grocery Store,210.3928,40,Medium,0.003169364274648105,0
FDP20,19.85,Low Fat,0.045631231,Fruits and Vegetables,128.102,OUT013,1987,High,Tier 3,Supermarket Type1,1265.02,38,Medium,0.0022988024534608335,0
FDK04,7.36,Low Fat,0.087559621,Frozen Foods,55.2588,OUT010,1998,Medium,Tier 3,Grocery Store,229.0352,27,Low,0.011896686019472007,0
FDQ15,20.35,Regular,0.252865979,Meat,82.7276,OUT010,1998,Medium,Tier 3,Grocery Store,162.4552,27,Low,0.01242584602329995,0
FDE11,17.7,Regular,0.135306012,Starchy Foods,183.7924,OUT049,1999,Medium,Tier 1,Supermarket Type1,2221.1088,26,High,0.007644407025739716,0
FDN01,8.895,Low Fat,0.126760908,Breakfast,176.937,OUT019,1985,Small,Tier 1,Grocery Store,352.874,40,High,0.0142508031196399,0
FDC29,8.39,Regular,0.024201084,Frozen Foods,112.6176,OUT035,2004,Small,Tier 2,Supermarket Type1,2175.8344,21,Medium,0.002884515031643024,0
FDC48,9.195,Low Fat,0.015856295,Baking Goods,81.6592,OUT035,2004,Small,Tier 2,Supermarket Type1,1403.5064,21,Low,0.001724447338287402,0
DRF27,8.93,Low Fat,0.028411899,Dairy,152.334,OUT035,2004,Small,Tier 2,Supermarket Type1,2143.876,21,High,0.0031816232719346846,0
NCB55,15.7,Low Fat,0.160529322,Household,59.2562,OUT013,1987,High,Tier 3,Supermarket Type1,296.281,38,Low,0.010224796928356884,0
NCX30,16.7,Low Fat,0.026771204,Household,246.3776,OUT017,2007,Small,Tier 2,Supermarket Type1,1981.4208,18,Very_High,0.0016030660117924544,0
DRN36,15.2,Low Fat,0.049934854,Soft Drinks,95.0752,OUT027,1985,Medium,Tier 3,Supermarket Type3,2588.6304,40,Medium,0.0032851875470271356,0
FDP08,20.5,Regular,0.113045883,Fruits and Vegetables,194.1478,OUT017,2007,Small,Tier 2,Supermarket Type1,2906.217,18,Very_High,0.005514433048076436,0
NCD31,12.1,Low Fat,0.015359722,Household,163.7526,OUT027,1985,Medium,Tier 3,Supermarket Type3,1973.4312,40,High,0.0012693984074877349,0
FDK45,11.65,Low Fat,0.034049703,Seafood,112.286,OUT017,2007,Small,Tier 2,Supermarket Type1,452.744,18,Medium,0.002922721036676306,0
DRE49,20.75,Low Fat,0.02128304,Soft Drinks,153.5024,OUT049,1999,Medium,Tier 1,Supermarket Type1,2428.8384,26,High,0.001025688625268018,0
FDU52,7.56,Low Fat,0.063462048,Frozen Foods,157.563,OUT027,1985,Medium,Tier 3,Supermarket Type3,1721.093,40,High,0.00839444968327385,0
FDD53,16.2,Low Fat,0.074019393,Frozen Foods,41.7454,OUT010,1998,Medium,Tier 3,Grocery Store,83.8908,27,Low,0.0045690980512902435,0
FDF11,10.195,Regular,0.017666978,Starchy Foods,239.4538,OUT045,2002,Small,Tier 2,Supermarket Type1,4566.7222,23,Very_High,0.0017329059604800432,0
NCR30,20.6,Low Fat,0.124299531,Household,73.4696,OUT019,1985,Small,Tier 1,Grocery Store,298.2784,40,Low,0.006033957522623421,0
FDD03,13.3,Low Fat,0.079739853,Dairy,233.03,OUT013,1987,High,Tier 3,Supermarket Type1,5359.69,38,Very_High,0.005995477218385172,0
FDF09,6.215,Low Fat,0.012167793,Fruits and Vegetables,37.4848,OUT049,1999,Medium,Tier 1,Supermarket Type1,111.8544,26,Low,0.0019578103044553007,0
FDS33,6.67,Regular,0.13506553837500002,Snack Foods,90.5514,OUT018,2009,Medium,Tier 3,Supermarket Type2,974.0654,16,Low,0.020249702867360893,0
FDK03,12.6,Regular,0.074338562,Dairy,255.5356,OUT017,2007,Small,Tier 2,Supermarket Type1,9664.7528,18,Very_High,0.005899885404771,0
FDD29,12.15,Low Fat,0.018407033,Frozen Foods,254.7698,OUT035,2004,Small,Tier 2,Supermarket Type1,5834.4054,21,Very_High,0.0015149820152278177,0
FDD02,16.6,Low Fat,0.050369191,Canned,117.2124,OUT049,1999,Medium,Tier 1,Supermarket Type1,1422.1488,26,Medium,0.0030342884316693713,0
FDF29,15.1,Regular,0.019837655,Frozen Foods,128.131,OUT027,1985,Medium,Tier 3,Supermarket Type3,1687.803,40,Medium,0.00131375189975153,0
FDP59,20.85,Regular,0.056465714,Breads,103.6648,OUT046,1997,Small,Tier 1,Supermarket Type1,2285.0256,28,Medium,0.0027081875919334484,0
NCN17,11.0,Low Fat,0.054928641,Health and Hygiene,101.7358,OUT035,2004,Small,Tier 2,Supermarket Type1,1508.037,21,Medium,0.004993512364226149,0
NCM55,15.6,Low Fat,0.066829875,Others,185.5924,OUT049,1999,Medium,Tier 1,Supermarket Type1,3146.5708,26,High,0.004283966071540636,0
FDD39,16.7,Low Fat,0.122832172,Dairy,217.685,OUT019,1985,Small,Tier 1,Grocery Store,432.77,40,Very_High,0.007355219439807219,0
FDS02,10.195,Regular,0.146692433,Dairy,194.5794,OUT017,2007,Small,Tier 2,Supermarket Type1,4096.6674,18,Very_High,0.014388662933922224,0
FDN16,12.6,Regular,0.062827447,Frozen Foods,105.099,OUT045,2002,Small,Tier 2,Supermarket Type1,1444.786,23,Medium,0.004986304921721831,0
FDM21,20.2,LF,0.064464147,Snack Foods,255.7646,OUT049,1999,Medium,Tier 1,Supermarket Type1,5410.9566,26,Very_High,0.00319129424795573,0
FDJ04,18.0,Low Fat,0.124959013,Frozen Foods,116.5124,OUT018,2009,Medium,Tier 3,Supermarket Type2,355.5372,16,Medium,0.006942167003212944,0
FDT50,6.75,Regular,0.12544369477777778,Dairy,96.7752,OUT049,1999,Medium,Tier 1,Supermarket Type1,1342.2528,26,Medium,0.018584248324967325,0
FDM27,12.35,Regular,0.15911489,Meat,158.1946,OUT018,2009,Medium,Tier 3,Supermarket Type2,1104.5622,16,High,0.012883795717911279,0
FDT19,7.59,Regular,0.145335007,Fruits and Vegetables,173.108,OUT045,2002,Small,Tier 2,Supermarket Type1,2077.296,23,High,0.019148219743317554,0
FDQ39,14.8,Low Fat,0.081168135,Meat,190.5846,OUT049,1999,Medium,Tier 1,Supermarket Type1,3630.6074,26,Very_High,0.0054843330753829005,0
NCU30,5.11,Low Fat,0.034874689,Household,161.721,OUT046,1997,Small,Tier 1,Supermarket Type1,2446.815,28,High,0.006824791032330521,0
FDY27,6.38,LF,0.031898175,Dairy,177.4344,OUT046,1997,Small,Tier 1,Supermarket Type1,1784.344,28,High,0.004999713166189159,0
FDW14,8.3,Regular,0.038211537,Dairy,87.7198,OUT046,1997,Small,Tier 1,Supermarket Type1,1569.9564,28,Low,0.0046037990838796285,0
FDJ21,16.7,Regular,0.03874616,Snack Foods,143.8102,OUT017,2007,Small,Tier 2,Supermarket Type1,4811.7366,18,High,0.002320129202387473,0
FDX47,6.55,Regular,0.03443677,Breads,156.5288,OUT027,1985,Medium,Tier 3,Supermarket Type3,4870.9928,40,High,0.005257521334729567,0
FDK56,9.695,Low Fat,0.130261652,Fruits and Vegetables,185.2898,OUT045,2002,Small,Tier 2,Supermarket Type1,3367.6164,23,High,0.013435960656424896,0
NCN05,8.235,Low Fat,0.014456938,Health and Hygiene,184.795,OUT035,2004,Small,Tier 2,Supermarket Type1,1464.76,21,High,0.0017555478135339636,0
FDC26,10.195,Low Fat,0.126383094,Canned,112.1886,OUT046,1997,Small,Tier 1,Supermarket Type1,667.1316,28,Medium,0.012396574948840123,0
FDT14,10.695,Regular,0.127620811,Dairy,119.244,OUT013,1987,High,Tier 3,Supermarket Type1,3475.476,38,Medium,0.011932753535974425,0
FDS36,8.38,Regular,0.046878474,Baking Goods,109.857,OUT035,2004,Small,Tier 2,Supermarket Type1,2306.997,21,Medium,0.005594089308581228,0
FDR48,11.65,Low Fat,0.220111117,Baking Goods,153.0024,OUT010,1998,Medium,Tier 3,Grocery Store,455.4072,27,High,0.018893656489814895,0
FDM04,9.195,Regular,0.0471117,Frozen Foods,52.0666,OUT035,2004,Small,Tier 2,Supermarket Type1,615.1992,21,Low,0.005123620976223929,0
FDZ37,8.1,Regular,0.019768503,Canned,88.6198,OUT046,1997,Small,Tier 1,Supermarket Type1,1569.9564,28,Low,0.002440555624622763,0
FDE46,18.6,Low Fat,0.015858893,Snack Foods,152.9366,OUT017,2007,Small,Tier 2,Supermarket Type1,453.4098,18,High,0.0008526286100737305,0
NCQ53,17.6,Low Fat,0.018905326,Health and Hygiene,234.659,OUT046,1997,Small,Tier 1,Supermarket Type1,8508.924,28,Very_High,0.00107416618896783,0
NCN42,20.25,Low Fat,0.014280554,Household,148.0418,OUT018,2009,Medium,Tier 3,Supermarket Type2,1177.1344,16,High,0.0007052125083845675,0
DRH11,5.98,Low Fat,0.075675438,Hard Drinks,53.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,331.5684,26,Low,0.012654753402215148,0
NCI42,18.75,Low Fat,0.010381661,Household,207.8954,OUT049,1999,Medium,Tier 1,Supermarket Type1,2292.3494,26,Very_High,0.0005536885571366103,0
FDT07,5.82,Regular,0.077475884,Fruits and Vegetables,255.333,OUT045,2002,Small,Tier 2,Supermarket Type1,4870.327,23,Very_High,0.013312005272851327,0
DRL60,8.52,Low Fat,0.02705936,Soft Drinks,153.3682,OUT046,1997,Small,Tier 1,Supermarket Type1,914.8092,28,High,0.0031759808478895725,0
FDG20,15.5,Regular,0.126199917,Fruits and Vegetables,178.4028,OUT018,2009,Medium,Tier 3,Supermarket Type2,1239.7196,16,High,0.008141929603746477,0
FDF56,16.7,Regular,0.119462225,Fruits and Vegetables,182.7976,OUT046,1997,Small,Tier 1,Supermarket Type1,1810.976,28,High,0.007153426218357711,0
FDV33,9.6,Regular,0.027454997,Snack Foods,258.1304,OUT018,2009,Medium,Tier 3,Supermarket Type2,2324.9736,16,Very_High,0.0028598952229275812,0
NCF31,9.13,Low Fat,0.051928034,Household,151.4024,OUT049,1999,Medium,Tier 1,Supermarket Type1,1973.4312,26,High,0.00568762632118003,0
FDD59,10.5,Regular,0.06625123157142858,Starchy Foods,78.296,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,28,Low,0.006309640501122675,0
FDQ52,17.0,Low Fat,0.119570595,Frozen Foods,249.7434,OUT049,1999,Medium,Tier 1,Supermarket Type1,4221.8378,26,Very_High,0.007033563998025647,0
FDP09,19.75,Low Fat,0.033725743,Snack Foods,211.6902,OUT027,1985,Medium,Tier 3,Supermarket Type3,4247.804,40,Very_High,0.0017076324704996218,0
FDK24,9.195,Low Fat,0.101275792,Baking Goods,46.4744,OUT035,2004,Small,Tier 2,Supermarket Type1,950.7624,21,Low,0.011014223054461876,0
NCA18,10.1,Low Fat,0.056077574,Household,117.8492,OUT046,1997,Small,Tier 1,Supermarket Type1,1621.8888,28,Medium,0.005552234499778763,0
NCE07,8.18,Low Fat,0.015216373555555558,Household,140.5154,OUT045,2002,Small,Tier 2,Supermarket Type1,1701.7848,23,Medium,0.0018601921387974842,0
FDM45,8.655,Regular,0.088178053,Snack Foods,122.6756,OUT035,2004,Small,Tier 2,Supermarket Type1,2302.3364,21,Medium,0.010188104311022034,0
FDQ32,17.85,Regular,0.046608497,Fruits and Vegetables,122.9388,OUT046,1997,Small,Tier 1,Supermarket Type1,3095.97,28,Medium,0.0026111201338308043,0
FDI34,10.65,Regular,0.085119855,Snack Foods,229.8668,OUT035,2004,Small,Tier 2,Supermarket Type1,4146.6024,21,Very_High,0.00799247389742029,0
FDE14,13.65,Regular,0.031418984,Canned,99.27,OUT013,1987,High,Tier 3,Supermarket Type1,2596.62,38,Medium,0.0023017569009701902,0
DRF37,17.25,Low Fat,0.084809658,Soft Drinks,261.191,OUT017,2007,Small,Tier 2,Supermarket Type1,3155.892,18,Very_High,0.00491650162802889,0
FDW44,9.5,Regular,0.035350045,Fruits and Vegetables,169.7448,OUT017,2007,Small,Tier 2,Supermarket Type1,3579.3408,18,High,0.0037210569767308446,0
FDC59,16.7,Regular,0.06331222855555556,Starchy Foods,63.6168,OUT049,1999,Medium,Tier 1,Supermarket Type1,1342.2528,26,Low,0.0037911511834972677,0
NCI29,8.6,Low Fat,0.054601779,Health and Hygiene,141.1154,OUT010,1998,Medium,Tier 3,Grocery Store,425.4462,27,Medium,0.006349043331506591,0
FDV38,19.25,Low Fat,0.102188428,Dairy,54.3956,OUT018,2009,Medium,Tier 3,Supermarket Type2,1201.1032,16,Low,0.005308489490468078,0
FDZ49,11.0,Regular,0.133034816,Canned,222.0798,OUT013,1987,High,Tier 3,Supermarket Type1,2864.9374,38,Very_High,0.012094073082356993,0
DRD49,9.895,Low Fat,0.16817143,Soft Drinks,237.7564,OUT045,2002,Small,Tier 2,Supermarket Type1,3813.7024,23,Very_High,0.016995595048449216,0
FDA02,14.0,Regular,0.029722659,Dairy,143.4786,OUT046,1997,Small,Tier 1,Supermarket Type1,1589.2646,28,High,0.002123046919782363,0
FDX20,7.365,Low Fat,0.042733625,Fruits and Vegetables,226.972,OUT018,2009,Medium,Tier 3,Supermarket Type2,3848.324,16,Very_High,0.005802256510216359,0
FDS24,20.85,Regular,0.062172698,Baking Goods,90.2514,OUT013,1987,High,Tier 3,Supermarket Type1,619.8598,38,Low,0.002981903837798377,0
FDI58,7.64,Regular,0.070704474,Snack Foods,93.412,OUT046,1997,Small,Tier 1,Supermarket Type1,1491.392,28,Low,0.00925451109234148,0
FDQ60,6.195,Regular,0.191500528,Baking Goods,121.2098,OUT019,1985,Small,Tier 1,Grocery Store,120.5098,40,Medium,0.030912106067456646,0
FDJ27,17.7,Regular,0.122065518,Meat,103.3674,OUT049,1999,Medium,Tier 1,Supermarket Type1,2546.685,26,Medium,0.006896356559527877,0
FDV27,7.97,Regular,0.04021623,Meat,90.4514,OUT017,2007,Small,Tier 2,Supermarket Type1,1328.271,18,Low,0.0050459504333813755,0
NCL41,12.35,Low Fat,0.041737627,Health and Hygiene,33.1216,OUT046,1997,Small,Tier 1,Supermarket Type1,519.324,28,Low,0.0033795646656222945,0
NCP29,8.42,Low Fat,0.11227101,Health and Hygiene,63.2168,OUT046,1997,Small,Tier 1,Supermarket Type1,703.0848,28,Low,0.013333847585053732,0
FDC45,17.0,Low Fat,0.135075924,Fruits and Vegetables,170.3106,OUT027,1985,Medium,Tier 3,Supermarket Type3,3422.212,40,High,0.007945642120844582,0
FDN33,6.305,Regular,0.12301331,Snack Foods,93.2436,OUT013,1987,High,Tier 3,Supermarket Type1,2079.9592,38,Low,0.019510434653380707,0
DRC01,5.92,Regular,0.019238942,Soft Drinks,49.8692,OUT045,2002,Small,Tier 2,Supermarket Type1,1133.1916,23,Low,0.003249820734827578,0
FDL57,15.1,Regular,0.067212845,Snack Foods,260.2304,OUT045,2002,Small,Tier 2,Supermarket Type1,4908.2776,23,Very_High,0.0044511814932992385,0
NCF42,17.35,Low Fat,0.280164929,Household,177.5712,OUT010,1998,Medium,Tier 3,Grocery Store,527.3136,27,High,0.016147833593784806,0
FDG50,7.405,Low Fat,0.015271793,Canned,89.9146,OUT046,1997,Small,Tier 1,Supermarket Type1,1550.6482,28,Low,0.002062362044245504,0
FDH22,6.405,Low Fat,0.136512858,Snack Foods,128.7678,OUT049,1999,Medium,Tier 1,Supermarket Type1,3052.0272,26,Medium,0.02131347957634979,0
FDO36,19.7,Low Fat,0.078034976,Baking Goods,178.066,OUT049,1999,Medium,Tier 1,Supermarket Type1,3954.852,26,High,0.003961166093341823,0
FDY04,17.7,Regular,0.042649476,Frozen Foods,162.721,OUT018,2009,Medium,Tier 3,Supermarket Type2,978.726,16,High,0.002409574779120069,0
FDZ09,17.6,Low Fat,0.104859135,Snack Foods,161.8868,OUT035,2004,Small,Tier 2,Supermarket Type1,4094.67,21,High,0.005957905059209939,0
FDH28,15.85,Regular,0.110202066,Frozen Foods,39.7506,OUT049,1999,Medium,Tier 1,Supermarket Type1,721.0614,26,Low,0.0069528112963526,0
FDN32,17.5,Low Fat,0.01558456,Fruits and Vegetables,185.1266,OUT049,1999,Medium,Tier 1,Supermarket Type1,4795.0916,26,High,0.0008905462348259294,0
DRJ37,10.8,Low Fat,0.060805497,Soft Drinks,150.8024,OUT027,1985,Medium,Tier 3,Supermarket Type3,3339.6528,40,High,0.0056301380898020285,0
FDE57,9.6,Low Fat,0.036490369,Fruits and Vegetables,140.8154,OUT017,2007,Small,Tier 2,Supermarket Type1,1843.6002,18,Medium,0.0038010797082208645,0
FDG05,11.0,Regular,0.088025298,Frozen Foods,158.063,OUT045,2002,Small,Tier 2,Supermarket Type1,2659.871,23,High,0.008002299090700084,0
FDI09,20.75,Regular,0.129864461,Seafood,240.188,OUT018,2009,Medium,Tier 3,Supermarket Type2,5992.2,16,Very_High,0.006258527939348051,0
DRD12,6.96,Low Fat,0.08474233871428571,Soft Drinks,89.4146,OUT027,1985,Medium,Tier 3,Supermarket Type3,2645.2234,40,Low,0.012175621629118403,0
FDD02,16.6,Low Fat,0.084176826,Canned,118.0124,OUT010,1998,Medium,Tier 3,Grocery Store,592.562,27,Medium,0.005070892827054648,0
FDI36,12.5,Regular,0.062343432,Baking Goods,199.7426,OUT046,1997,Small,Tier 1,Supermarket Type1,593.2278,28,Very_High,0.004987474161002067,0
DRK39,7.02,Low Fat,0.049942926,Dairy,82.425,OUT049,1999,Medium,Tier 1,Supermarket Type1,1414.825,26,Low,0.007114375909633062,0
FDH44,19.1,reg,0.025867261,Fruits and Vegetables,147.6418,OUT035,2004,Small,Tier 2,Supermarket Type1,1471.418,21,High,0.0013543067877326287,0
FDS56,5.785,Regular,0.038817121,Fruits and Vegetables,262.6252,OUT049,1999,Medium,Tier 1,Supermarket Type1,524.6504,26,Very_High,0.006709959254976793,0
DRJ59,11.65,Low Fat,0.01941154,Hard Drinks,40.3164,OUT045,2002,Small,Tier 2,Supermarket Type1,502.0132,23,Low,0.0016662264664183293,0
NCA30,19.0,Low Fat,0.216478153,Household,190.1872,OUT010,1998,Medium,Tier 3,Grocery Store,567.2616,27,Very_High,0.011393586400337557,0
FDF17,5.19,Low Fat,0.042707323,Frozen Foods,197.811,OUT045,2002,Small,Tier 2,Supermarket Type1,2946.165,23,Very_High,0.008228769705439362,0
NCX18,14.15,Low Fat,0.010366523374999999,Household,196.311,OUT046,1997,Small,Tier 1,Supermarket Type1,3338.987,28,Very_High,0.0007326164411578486,0
NCO53,16.2,Low Fat,0.175898114,Health and Hygiene,183.7608,OUT018,2009,Medium,Tier 3,Supermarket Type2,2940.1728,16,High,0.010857907601363728,0
FDT23,7.72,reg,0.074847665,Breads,78.8986,OUT049,1999,Medium,Tier 1,Supermarket Type1,623.1888,26,Low,0.009695292137915526,0
NCJ19,18.6,Low Fat,0.118180011,Others,56.2588,OUT046,1997,Small,Tier 1,Supermarket Type1,1030.6584,28,Low,0.006353763690657865,0
FDI05,8.35,Regular,0.127587344,Frozen Foods,76.5354,OUT017,2007,Small,Tier 2,Supermarket Type1,1805.6496,18,Low,0.015279919607195257,0
NCJ19,18.6,Low Fat,0.19780911,Others,55.6588,OUT010,1998,Medium,Tier 3,Grocery Store,114.5176,27,Low,0.010634897815328073,0
NCS29,9.0,LF,0.069208684,Health and Hygiene,264.0884,OUT027,1985,Medium,Tier 3,Supermarket Type3,4504.8028,40,Very_High,0.007689852923349677,0
NCC06,19.0,Low Fat,0.026963909,Household,129.8336,OUT013,1987,High,Tier 3,Supermarket Type1,3451.5072,38,Medium,0.001419153030570893,0
FDJ12,8.895,Regular,0.039261947,Baking Goods,207.4296,OUT017,2007,Small,Tier 2,Supermarket Type1,2492.7552,18,Very_High,0.0044139339613340125,0
FDW48,18.0,Low Fat,0.008533716,Baking Goods,78.5618,OUT013,1987,High,Tier 3,Supermarket Type1,402.809,38,Low,0.00047409530699470516,0
FDX32,15.1,Regular,0.100423086,Fruits and Vegetables,144.7786,OUT017,2007,Small,Tier 2,Supermarket Type1,2600.6148,18,High,0.0066505350562559564,0
FDH02,7.27,Regular,0.0225633515,Canned,91.8488,OUT027,1985,Medium,Tier 3,Supermarket Type3,2716.464,40,Low,0.003103624263600514,0
FDD16,20.5,Low Fat,0.036353098,Frozen Foods,75.8696,OUT046,1997,Small,Tier 1,Supermarket Type1,2386.2272,28,Low,0.0017733217671550357,0
FDR09,18.25,Low Fat,0.077348214,Snack Foods,259.7962,OUT027,1985,Medium,Tier 3,Supermarket Type3,8028.8822,40,Very_High,0.004238258069136544,0
FDB32,20.6,Low Fat,0.023548476,Fruits and Vegetables,93.3778,OUT018,2009,Medium,Tier 3,Supermarket Type2,1314.2892,16,Low,0.001143129847420881,0
FDP11,15.85,Low Fat,0.069043044,Breads,218.7166,OUT013,1987,High,Tier 3,Supermarket Type1,4136.6154,38,Very_High,0.004356027737790048,0
FDG09,20.6,Regular,0.048010812,Fruits and Vegetables,187.7556,OUT049,1999,Medium,Tier 1,Supermarket Type1,3004.0896,26,Very_High,0.0023306218286105905,0
FDF21,10.3,Regular,0.058778429,Fruits and Vegetables,187.853,OUT013,1987,High,Tier 3,Supermarket Type1,2656.542,38,Very_High,0.005706643038189996,0
NCJ19,18.6,Low Fat,0.117607719,Others,55.2588,OUT027,1985,Medium,Tier 3,Supermarket Type3,2748.4224,40,Low,0.006322995305215305,0
FDY03,17.6,Regular,0.127412338,Meat,111.3202,OUT010,1998,Medium,Tier 3,Grocery Store,337.5606,27,Medium,0.007239336975037672,0
FDK58,11.35,Regular,0.044945123,Snack Foods,101.0016,OUT013,1987,High,Tier 3,Supermarket Type1,2631.2416,38,Medium,0.003959922382385694,0
FDC26,10.195,Low Fat,0.126579586,Canned,112.2886,OUT049,1999,Medium,Tier 1,Supermarket Type1,2557.3378,26,Medium,0.012415848316248326,0
FDN15,17.5,Low Fat,0.016802225,Meat,138.518,OUT018,2009,Medium,Tier 3,Supermarket Type2,2376.906,16,Medium,0.0009601270879927378,0
DRH11,5.98,Low Fat,0.075192072,Hard Drinks,56.0614,OUT027,1985,Medium,Tier 3,Supermarket Type3,2597.2858,40,Low,0.012573922980949333,0
NCK17,11.0,Low Fat,0.03786331,Health and Hygiene,40.948,OUT013,1987,High,Tier 3,Supermarket Type1,319.584,38,Low,0.003442118777989202,0
DRC01,5.92,Regular,0.019200003,Soft Drinks,47.7692,OUT046,1997,Small,Tier 1,Supermarket Type1,492.692,28,Low,0.0032432432021548643,0
FDD03,13.3,Low Fat,0.079791176,Dairy,232.73,OUT035,2004,Small,Tier 2,Supermarket Type1,2796.36,21,Very_High,0.0059993360902754825,0
NCY17,18.2,Low Fat,0.16334971,Health and Hygiene,45.1086,OUT049,1999,Medium,Tier 1,Supermarket Type1,669.129,26,Low,0.00897525829806273,0
DRY23,9.395,Regular,0.109265987,Soft Drinks,42.3112,OUT049,1999,Medium,Tier 1,Supermarket Type1,980.0576,26,Low,0.011630226223499072,0
FDT50,6.75,Regular,0.10821852,Dairy,96.3752,OUT035,2004,Small,Tier 2,Supermarket Type1,1342.2528,21,Medium,0.016032370958167265,0
FDC38,15.7,Low Fat,0.122392031,Canned,133.1942,OUT013,1987,High,Tier 3,Supermarket Type1,2782.3782,38,Medium,0.007795670267791703,0
NCN06,8.39,Low Fat,0.20168772,Household,162.8868,OUT010,1998,Medium,Tier 3,Grocery Store,327.5736,27,High,0.024039057921447206,0
FDP56,8.185,Low Fat,0.046259036,Fruits and Vegetables,47.4692,OUT027,1985,Medium,Tier 3,Supermarket Type3,1576.6144,40,Low,0.005651683610056982,0
FDW34,9.6,Low Fat,0.035651291,Snack Foods,244.917,OUT045,2002,Small,Tier 2,Supermarket Type1,2916.204,23,Very_High,0.0037136757589921092,0
FDU07,11.1,Low Fat,0.059835659,Fruits and Vegetables,151.3366,OUT035,2004,Small,Tier 2,Supermarket Type1,3022.732,21,High,0.005390599424270322,0
NCO55,12.8,LF,0.091408076,Others,108.9938,OUT018,2009,Medium,Tier 3,Supermarket Type2,1071.938,16,Medium,0.007141255379589424,0
FDL16,12.85,Low Fat,0.169405699,Frozen Foods,46.106,OUT017,2007,Small,Tier 2,Supermarket Type1,792.302,18,Low,0.013183321853437988,0
FDT59,13.65,Low Fat,0.015943701,Breads,231.9668,OUT045,2002,Small,Tier 2,Supermarket Type1,3225.1352,23,Very_High,0.0011680366177262552,0
DRF01,5.655,Low Fat,0.174232377,Soft Drinks,146.6102,OUT027,1985,Medium,Tier 3,Supermarket Type3,1895.5326,40,High,0.030810317628591044,0
NCS06,7.935,Low Fat,0.031801103,Household,261.591,OUT045,2002,Small,Tier 2,Supermarket Type1,3155.892,23,Very_High,0.004007699936017651,0
FDY13,12.1,Low Fat,0.052749199,Canned,74.967,OUT019,1985,Small,Tier 1,Grocery Store,229.701,40,Low,0.004359437573600201,0
DRF36,16.1,Low Fat,0.039463564,Soft Drinks,189.9846,OUT010,1998,Medium,Tier 3,Grocery Store,191.0846,27,Very_High,0.0024511528912327394,0
FDV10,7.645,Regular,0.078630481125,Snack Foods,41.8112,OUT046,1997,Small,Tier 1,Supermarket Type1,894.8352,28,Low,0.010285215283163469,0
FDE09,8.775,Low Fat,0.036159635,Fruits and Vegetables,110.7228,OUT010,1998,Medium,Tier 3,Grocery Store,331.5684,27,Medium,0.004120755655754342,0
FDC20,10.65,Low Fat,0.024020078,Fruits and Vegetables,57.2272,OUT045,2002,Small,Tier 2,Supermarket Type1,1174.4712,23,Low,0.0022554061732012985,0
FDI58,7.64,Regular,0.071104408,Snack Foods,95.012,OUT017,2007,Small,Tier 2,Supermarket Type1,1864.24,18,Medium,0.009306858467688682,0
FDI56,7.325,Low Fat,0.093913607,Fruits and Vegetables,93.2146,OUT017,2007,Small,Tier 2,Supermarket Type1,1733.0774,18,Low,0.012820968488604983,0
NCI17,8.645,low fat,0.144006886,Health and Hygiene,94.741,OUT018,2009,Medium,Tier 3,Supermarket Type2,1061.951,16,Medium,0.016657821786255435,0
NCE19,8.97,Low Fat,0.093159233,Household,55.7956,OUT049,1999,Medium,Tier 1,Supermarket Type1,1037.3164,26,Low,0.010385643546750997,0
FDA26,7.855,Regular,0.129425145,Dairy,219.3482,OUT019,1985,Small,Tier 1,Grocery Store,219.0482,40,Very_High,0.01647678275279659,0
FDR01,5.405,Regular,0.053839714,Canned,198.6742,OUT018,2009,Medium,Tier 3,Supermarket Type2,2388.8904,16,Very_High,0.009961092329122602,0
FDC32,18.35,Low Fat,0.098629062,Fruits and Vegetables,90.6462,OUT027,1985,Medium,Tier 3,Supermarket Type3,2406.2012,40,Low,0.005374880470033761,0
